"Action","عمل"
"Actions","الإجراءات"
"Add Item","إضافة عنصر"
"Add New","اضف جديد"
"All Countries","كل البلدان"
"Any","أي"
"Back","ظهر"
"Cancel","إلغاء"
"Code","رمز"
"Comment sent.","التعليق إرسالها."
"Country","بلد"
"Country Code","الرقم الدولي"
"Country/States Manager","الدولة / الدول مدير"
"Default Name","الاسم الافتراضي"
"Delete","حذف"
"Disable","تعطيل"
"Download","تحميل"
"Downloading regions, please wait.","المناطق تحميل الرجاء الانتظار ."
"Edit","تحرير"
"Edit Item '%s'","تحرير عنصر '%s'"
"Enable","تمكين"
"Enabled","تمكين"
"Get Regions","الحصول على الأقاليم"
"Get Regions From API","الحصول على الأقاليم من API"
"items selected","العناصر المحددة"
"Item Manager","مدير البند"
"Item was successfully saved","تم حفظ البند بنجاح"
"Locale ","مكان "
"Page","صفحة"
"per page","في كل صفحة"
"Please fill the required fields","يرجى تعبئة جميع الحقول المطلوبة"
"Please select items.","يرجى تحديد العناصر."
"Please select region(s).","يرجى تحديد المناطق."
"of %s pages","صفحات %s من"
"Name","اسم"
"No","لا"
"Region Code","رمز المنطقة"
"Region code must be unique.","يجب أن يكون رمز المنطقة فريدة من نوعها."
"Region does not exist","لا وجود المنطقة"
"Regions added Successfully","المناطق أضافت بنجاح"
"Reset","إعادة تعيين"
"Reset Filter","تصفية إعادة تعيين"
"Save","حفظ"
"Save Item","حفظ البند"
"Search","بحث"
"Searching country regions, please wait.","مناطق البلاد يبحث ، يرجى الانتظار ."
"Select Visible","حدد مرئي"
"Sending comment, please wait.","إرسال تعليق ، يرجى الانتظار ."
"State Information","معلومات الدولة"
"State/Country combination must be unique","يجب أن تكون دولة تركيبة / البلد الفريد"
"Submit","عرض"
"Total %d records found","نتائج %d مجموع"
"Total of %d record(s) were deleted.","تم حذف مجموعه %d لسجلات."
"Total of %d record(s) were disabled.","تم تعطيل مجموعه %d السجلات."
"Total of %d record(s) were enabled.","تم تعطيل مجموعه %d السجلات."
"Unable to Save.","غير قادر على حفظ ."
"Unselect Visible","إلغاء تحديد مرئي"
"Value can not be empty.","قيمة لا يمكن أن يكون فارغا."
"View","رأي"
"Yes","نعم"